id,contact.name,contact.email,account.balance,charges
9o0sv3,Norine Shellie,NorineShellie299@email.com,335,"[{""id"":""a31jp8"",""amount"":334.52,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""},{""id"":""tqs70k"",""amount"":334.52,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
kwyvzq,Dotti Caryn,DottiCaryn363@email.com,764.53,"[{""id"":""x270jp"",""amount"":385.66,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
9sdmw1,Marylou Harli,MarylouHarli143@email.com,439.69,"[{""id"":""ah4ut2"",""amount"":360.46,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
agyrz0,Miguelita Hilary,MiguelitaHilary180@email.com,458.12,"[{""id"":""ygqyet"",""amount"":414.3,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
ty9y1n,Angelica Beatrisa,AngelicaBeatrisa324@email.com,1216.69,"[{""id"":""h2rqen"",""amount"":413.94,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
76pmb8,Ryann Bertina,RyannBertina327@email.com,0,"[{""id"":""ma2uh7"",""amount"":783.01,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
yevucq,Joscelin Cecily,JoscelinCecily221@email.com,212.73,"[{""id"":""np5vcp"",""amount"":219.25,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
73k1pp,Fayina Zarah,FayinaZarah99@email.com,-17.85,"[{""id"":""qvtz2z"",""amount"":832.59,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
yssx9v,Danika Alena,DanikaAlena290@email.com,3268.85,"[{""id"":""dym0iu"",""amount"":1054.18,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
r3g6z9,Kathlin Bertie,KathlinBertie220@email.com,573.51,"[{""id"":""wdnib5"",""amount"":417.33,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
pu38pl,Adore Shanie,AdoreShanie350@email.com,0.68,"[{""id"":""osb9qi"",""amount"":723.38,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
ahqrtn,Beulah Lorie,BeulahLorie311@email.com,769.64,"[{""id"":""b4agtv"",""amount"":797.01,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
rlwte0,Vilhelmina Dorita,VilhelminaDorita397@email.com,1950.55,"[{""id"":""c5pyrs"",""amount"":605.25,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
q9uc2q,Maurine Alicea,MaurineAlicea385@email.com,60.83,"[{""id"":""nlofaw"",""amount"":642.9,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
qjn649,Goldi Joletta,GoldiJoletta364@email.com,5.56,"[{""id"":""jm9b76"",""amount"":470.96,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
os88ly,Dulsea Zondra,DulseaZondra202@email.com,3810.36,"[{""id"":""t7hwdc"",""amount"":1125.5,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
5b3c9a,Ursulina Deena,UrsulinaDeena377@email.com,164.15,"[{""id"":""h3okcy"",""amount"":547.57,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
2yjq8f,Aggi Fleur,AggiFleur339@email.com,0,"[{""id"":""55guqm"",""amount"":621.35,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
cm19r3,Aubry Myrta,AubryMyrta214@email.com,-64.87,"[{""id"":""g0ywtn"",""amount"":615.35,""datetime"":""2020-11-24T00:00:00.000Z"",""status"":""New""}]"
xhx7es,Aindrea Clarette,AindreaClarette281@email.com,392.22,"[{""id"":""w6l67f"",""amount"":641,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
fix35t,Marybelle Mala,MarybelleMala248@email.com,42.65,"[{""id"":""abn3ki"",""amount"":466.1,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
y525wh,Joleen Juli,JoleenJuli173@email.com,543.89,"[{""id"":""w6fjgo"",""amount"":505.25,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
a6vl6g,Eba Amber,EbaAmber83@email.com,533.45,"[{""id"":""wu5sc9"",""amount"":566.17,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
trmu2g,Orly Yoshi,OrlyYoshi70@email.com,1058.53,"[{""id"":""n5ljql"",""amount"":675.4,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
pgjgwf,Kelli Leigh,KelliLeigh379@email.com,700,"[{""id"":""li8lob"",""amount"":755.72,""datetime"":""2020-11-30T00:00:00.000Z"",""status"":""New""}]"
345aqa,Florida Bella,FloridaBella145@email.com,1210.41,"[{""id"":""1doi9s"",""amount"":620.63,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
23qn7p,Maud Shae,MaudShae404@email.com,272.62,"[{""id"":""qotiy5"",""amount"":527.65,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
jv04q7,Freida Misha,FreidaMisha141@email.com,142.88,"[{""id"":""qz8zrt"",""amount"":366.22,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
dgvq9i,Steffane Fanya,SteffaneFanya261@email.com,1109.2,"[{""id"":""5717vz"",""amount"":275.57,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
reyay7,Bennie Kelci,BennieKelci156@email.com,81.13,"[{""id"":""a79ht5"",""amount"":664.67,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
4x4ak2,Clio Joya,ClioJoya200@email.com,1889.13,"[{""id"":""92fzgl"",""amount"":552.5,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
a370ba,Gianna Brande,GiannaBrande166@email.com,0.73,"[{""id"":""t66yc3"",""amount"":474.1,""datetime"":""2020-11-23T00:00:00.000Z"",""status"":""New""}]"
6qk6gx,Roanna Christian,RoannaChristian211@email.com,657.98,"[{""id"":""x2pyyg"",""amount"":221.5,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
pd5ka9,Nolie Janis,NolieJanis343@email.com,119.1,"[{""id"":""hslr1o"",""amount"":689.65,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
lbfvc1,Calli Ferne,CalliFerne90@email.com,85.64,"[{""id"":""oai828"",""amount"":1068.74,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
deinmy,Missie Suzie,MissieSuzie372@email.com,25.54,"[{""id"":""wq1d7v"",""amount"":506.48,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
cx2in0,Gracie Katy,GracieKaty224@email.com,124.53,"[{""id"":""523hsy"",""amount"":572.35,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
9pn12c,Cosetta Heidie,CosettaHeidie177@email.com,1.03,"[{""id"":""re885c"",""amount"":605.7,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
ls9zb7,Ronni Lusa,RonniLusa166@email.com,1910.94,"[{""id"":""dgf17b"",""amount"":647.19,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
g1cmrv,Ronalda Glenine,RonaldaGlenine120@email.com,613.87,"[{""id"":""u23trb"",""amount"":737.66,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
cnxgjw,Xylia Sharon,XyliaSharon200@email.com,-602.67,"[{""id"":""hmposf"",""amount"":770.32,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
0sv897,Tawsha Shela,TawshaShela280@email.com,6.91,"[{""id"":""8y897q"",""amount"":443.99,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
6kzml6,Suzie Lynnett,SuzieLynnett296@email.com,35.34,"[{""id"":""nx8ql4"",""amount"":485.63,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
rq45hp,Rebeca Tate,RebecaTate148@email.com,382.4,"[{""id"":""gwsi9d"",""amount"":312.3,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
38h974,Jennee Violetta,JenneeVioletta81@email.com,2.13,"[{""id"":""zlgaxe"",""amount"":548.56,""datetime"":""2020-11-25T00:00:00.000Z"",""status"":""New""}]"
ev4582,Mireille Doretta,MireilleDoretta102@email.com,62.57,"[{""id"":""gyy4b2"",""amount"":282.76,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
m5o3jj,Wallis Heloise,WallisHeloise389@email.com,-397.88,"[{""id"":""ryyfb5"",""amount"":828.48,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
mper6g,Bobette Goldi,BobetteGoldi142@email.com,413.61,"[{""id"":""h564t6"",""amount"":540.38,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
l8619r,Cass Gabi,CassGabi250@email.com,-363.13,"[{""id"":""xh9j7s"",""amount"":578.48,""datetime"":""2020-11-20T00:00:00.000Z"",""status"":""New""}]"
h4n6yr,Morgana Kassey,MorganaKassey365@email.com,17.16,"[{""id"":""7nmorj"",""amount"":252.2,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
yp5bz8,Hayley Darby,HayleyDarby388@email.com,413.27,"[{""id"":""bw6l8a"",""amount"":690.18,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
1shdis,Meta Josephina,MetaJosephina170@email.com,7.92,"[{""id"":""yyabwb"",""amount"":610.32,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
eh3xd4,Dolores Ayn,DoloresAyn306@email.com,71.77,"[{""id"":""2o84nn"",""amount"":256.25,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
3wl72s,Rivkah Marni,RivkahMarni250@email.com,899.37,"[{""id"":""5lxuh3"",""amount"":575.98,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
fjb0se,Carolynn Kelci,CarolynnKelci101@email.com,101.35,"[{""id"":""lz5s1w"",""amount"":380.5,""datetime"":""2020-11-27T00:00:00.000Z"",""status"":""New""}]"
